"repository_path","original_project_path","sha256","language","analysis_role","reported_outputs","figure_or_table","seed_if_applicable","authoritative_basis","status","notes"
"scripts/22_pathway_score_DE.R","scripts/22_pathway_score_DE.R","6eb05d97071d268f106b46e63287ecb64abd09b4c4df902e9752b6a3538da2c2","R","Pathway score differential expression (limma)","pathway score DE outputs","Fig 4","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/22_sample_level_pathway_scores.py","scripts/22_sample_level_pathway_scores.py","7c5743fd15ab09ebf674eef8b8c05bf6244f34a9bd670b5804f6ff18ca1fedf5","Python","Magnitude-aware and rank-based Hallmark scores per pseudobulk","sample-level pathway scores","Fig 4","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/23_pathway_effect_meta.py","scripts/23_pathway_effect_meta.py","d772168e481ff65c45bb410fd466f11c329bd230036ed7c7d23cc72dd9341dba","Python","REML + modified Hartung-Knapp meta-analysis of pathway effects","data/pathway_meta_mkh.csv","Fig 4","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/24_gsema_benchmark.R","scripts/24_gsema_benchmark.R","5eccba53cf12fab8a4203827e6db3c889ccb66eb06c71ab9eb81fa9b3ca0072b","R","GSEMA benchmark across scoring methods","gsema benchmark outputs","Fig 4","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/25_gsema_mkh_meta.py","scripts/25_gsema_mkh_meta.py","4d7c0249c3febcb3d727186a94f2e70ea0b32669b4c6b50864982f8e1f81657d","Python","Apply REML+mKH estimator to GSEMA study-level effects","data/gsema_mkh_random_effects.csv","Fig 4","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/26_matched_gene_set_null_pilot.py","scripts/26_matched_gene_set_null_pilot.py","ee1ab31af369e7b3eaeaac43a679ca5d062c798cb9397105ba513852ed5bcb8c","Python","Three-level matched random gene-set pilot for focal Hallmarks","data/matched_null_exchangeability_diagnostics.csv; data/matched_null_expansion_decision.csv","Fig S6","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/28_hallmark_myc_stability_audit.py","scripts/28_hallmark_myc_stability_audit.py","2078940bbb7f325b9958c61029d51461f1021d31db1b6211d260e93cf9ae6633","Python","Frozen Hallmark stability and MYC/cell-cycle audit","data/myc_deoverlap_results.csv; data/myc_residual_models.csv; data/leading_edge_pairwise_calibrated.csv","Fig 5; Fig S5","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/29_composition_ontology_sensitivity.py","scripts/29_composition_ontology_sensitivity.py","529ee8d72276edbf66985945296bfb0e06ef8344f0d0689d4e941e5a860fc378","Python","Composition and ontology sensitivity with small-sample safeguards","data/composition_program_association.csv","Fig 5; Fig S1","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/30_mtorc1_context_matrix.py","scripts/30_mtorc1_context_matrix.py","c23cbad145cdb139a20208f7d175bfdfab9afab0e3987485b0ca0219730b101c","Python","Assemble auditable mTORC1 context/method matrix","data/mtorc1_context_matrix.csv","Fig 5; Fig S1","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/65_audit_gse205029_temporal_eligibility.py","scripts/65_audit_gse205029_temporal_eligibility.py","04a3d75c354e821cc3b5fc5729a558f5e73ed040e0742a3c843a2686767044fe","Python","Audit GSE205029 temporal estimability without expression counts","data/GSE205029_wt_sample_eligibility.csv; data/GSE205029_contrast_estimability.csv","Fig S2; Table S2","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/67_postlock_sign_identity_calibration.py","scripts/67_postlock_sign_identity_calibration.py","1f24a0bc112cb0dfd9a29a6e95a415ce24863f0690d1e12fcf84d38af86773d3","Python","Post-lock direction-imbalance and feature-identity permutation calibration","data/sign_identity_permutation_null_draws.npz; data/sign_identity_permutation_summary.csv; data/sign_identity_observed_metrics.csv","Fig 2","seed 20260803; 10000 iterations","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/68_gse47681_raw_rma_limma.R","scripts/68_gse47681_raw_rma_limma.R","0da865abcc4f85e31fef9fc0f5b7f42f621ddb42f3a7b431f1d0819e49a36b3d","R","Joint RMA + robust limma on 13 WT CEL files; gene effects","data/GSE47681_RMA_gene_expression.tsv.gz; data/GSE47681_gene_effects.csv; design/contrast matrices","Fig 2; Fig S4","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/69_gse47681_hallmark_stress_test.py","scripts/69_gse47681_hallmark_stress_test.py","c46e8d3bce15a5b31c7a9e02abf505c4d03397df3cdc7688a0edea0782f8a16e","Python","Hallmark GSEA and frozen-reference comparison for GSE47681","data/GSE47681_hallmark_gsea.csv; data/GSE47681_frozen_reference_comparison.csv; data/GSE47681_shared_feature_score_matrix.tsv.gz","Fig 2","seed 20260803; 5000 permutations","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/70_effect_strength_calibration.py","scripts/70_effect_strength_calibration.py","036cc5381644e8d77c72482973456f66d12682c6e2007875e896eec761cdc244","Python","Effect-strength calibration for three-study whole-lesion branch","data/effect_strength_summary.csv; data/effect_strength_stratified_metrics.csv; data/effect_strength_overlap_window_metrics.csv","Fig 3","","docstring + ESM2 provenance JSON + S3 cross-reference","AUTHORITATIVE","included in minimal repository set"
"scripts/72_build_v5_3_3_figures.py","scripts/72_build_v5_3_3_figures.py","617a03cbecb5ceb0699e726ff673593ad287c72b81fc09a4959f283c39a5c12d","Python","Retired top-level compatibility marker; current figure assembly is not included","none; see scripts/legacy/72_build_v5_3_3_figures.py","legacy only","","RC1 compatibility marker","LEGACY_MARKER","Top-level file intentionally raises an informative retirement error."
"scripts/legacy/72_build_v5_3_3_figures.py","scripts/72_build_v5_3_3_figures.py","7a5ba14bf7d3741c366a84e9ec4da7fdc3a3c90e6175bb092d412202fbd0d16f","Python","Archived v5.3.3 figure builder retained for provenance","historical v5.3.3 Fig1-6 and FigS1-S4","legacy only","","copied from prior repository baseline","LEGACY_ARCHIVED","Not synchronized to the current manuscript figure organization; do not invoke for current figures."
