source_layer,dataset,tissue_scope,cell_type,genotype_context,contrast_id,scoring_method,effect_metric,estimate,se,ci_low,ci_high,nominal_p,fdr,direction,evidence_class,interpretation_limit
GSE304361_endpoint_stress_test,GSE304361,cell_states,Astrocyte,wild_type_injury,wt_d7_vs_wt_uninjured,preranked_GSEA,NES,-1.5424842372820833,NA,NA,NA,0.0,0.0262942000281752,-1,FDR_supported_association_or_enrichment,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,EC,wild_type_injury,wt_d7_vs_wt_uninjured,preranked_GSEA,NES,-1.3558507283054997,NA,NA,NA,0.0923366834170853,0.2868382545645147,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Ependymal cell,wild_type_injury,wt_d7_vs_wt_uninjured,preranked_GSEA,NES,-0.8774035565869451,NA,NA,NA,0.6905965621840243,1.0,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Fibroblast,wild_type_injury,wt_d7_vs_wt_uninjured,preranked_GSEA,NES,-1.1108016706974555,NA,NA,NA,0.2417218543046356,0.4653369775656998,-1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,IAMs,wild_type_injury,wt_d7_vs_wt_uninjured,preranked_GSEA,NES,1.1061818523540496,NA,NA,NA,0.2298682284040995,0.3595143056931414,1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Neuron,wild_type_injury,wt_d7_vs_wt_uninjured,preranked_GSEA,NES,0.9469504307507476,NA,NA,NA,0.5902004454342983,0.6475948208565506,1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,OPC,wild_type_injury,wt_d7_vs_wt_uninjured,preranked_GSEA,NES,0.9271090366383608,NA,NA,NA,0.6626838235294118,0.6847936525530184,1,directional_or_no_statistical_support,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Oligodendrycyte,wild_type_injury,wt_d7_vs_wt_uninjured,preranked_GSEA,NES,-1.3263544154077551,NA,NA,NA,0.0293692826191622,0.2786372537726067,-1,nominal_only_not_replication,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,cell_states,Pericyte,wild_type_injury,wt_d7_vs_wt_uninjured,preranked_GSEA,NES,NA,NA,NA,NA,NA,NA,0,not_evaluable,"one study family; context stress test, not independent pathway mechanism"
GSE304361_endpoint_stress_test,GSE304361,whole_lesion,whole_lesion_bulk_equivalent,wild_type_injury,wt_d7_vs_wt_uninjured,preranked_GSEA,NES,1.3207376582805064,NA,NA,NA,0.0368642090527298,0.0827513948865929,1,nominal_only_not_replication,"one study family; context stress test, not independent pathway mechanism"
GSEMA_benchmark_failure,three_study_meta,whole_lesion,all_cells,source_cohorts,change_d7_minus_d1,GSEMA_Singscore,not_evaluable,NA,NA,NA,NA,NA,NA,0,not_evaluable,BiocParallel errors
GSEMA_benchmark_failure,three_study_meta,whole_lesion,all_cells,source_cohorts,injury_d1_vs_uninjured,GSEMA_Singscore,not_evaluable,NA,NA,NA,NA,NA,NA,0,not_evaluable,BiocParallel errors
GSEMA_benchmark_failure,three_study_meta,whole_lesion,all_cells,source_cohorts,injury_d7_vs_uninjured,GSEMA_Singscore,not_evaluable,NA,NA,NA,NA,NA,NA,0,not_evaluable,BiocParallel errors
GSEMA_benchmark_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,change_d7_minus_d1,GSEMA_GSVA,mKH_meta_standardized_effect,-0.8784853891325332,0.5296537501452726,-3.15740154301713,1.4004307647520635,0.2390579228228372,0.9807499331729244,-1,directional_or_no_statistical_support,GSEMA score with project mKH; k=3 and method dependence retained
GSEMA_benchmark_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,change_d7_minus_d1,GSEMA_Zscore,mKH_meta_standardized_effect,-0.9035800884584843,0.5291279289600412,-3.1802338163850847,1.3730736394681164,0.2298190209228749,0.9510133426184136,-1,directional_or_no_statistical_support,GSEMA score with project mKH; k=3 and method dependence retained
GSEMA_benchmark_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,change_d7_minus_d1,GSEMA_ssGSEA,mKH_meta_standardized_effect,-2.3366565728475295,0.629959337820995,-5.047152837354197,0.3738396916591377,0.0656110300640936,0.5423697969207965,-1,directional_or_no_statistical_support,GSEMA score with project mKH; k=3 and method dependence retained
GSEMA_benchmark_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,injury_d1_vs_uninjured,GSEMA_GSVA,mKH_meta_standardized_effect,2.0106470071267064,0.5745494226951432,-0.4614396348085287,4.482733649061942,0.0728452117494344,0.3107753156887427,1,directional_or_no_statistical_support,GSEMA score with project mKH; k=3 and method dependence retained
GSEMA_benchmark_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,injury_d1_vs_uninjured,GSEMA_Zscore,mKH_meta_standardized_effect,1.5709948494482302,0.536784180893277,-0.7386010717585573,3.880590770655018,0.099609124799297,0.5090148813090473,1,directional_or_no_statistical_support,GSEMA score with project mKH; k=3 and method dependence retained
GSEMA_benchmark_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,injury_d1_vs_uninjured,GSEMA_ssGSEA,mKH_meta_standardized_effect,3.57112199019488,1.0726028304401607,-1.0439155061354763,8.186159486525236,0.0795914082094006,0.2001347632614702,1,directional_or_no_statistical_support,GSEMA score with project mKH; k=3 and method dependence retained
GSEMA_benchmark_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,injury_d7_vs_uninjured,GSEMA_GSVA,mKH_meta_standardized_effect,0.6724042808598832,0.520758986852525,-1.5682407954626982,2.9130493571824645,0.325741440216456,0.4773940747057432,1,directional_or_no_statistical_support,GSEMA score with project mKH; k=3 and method dependence retained
GSEMA_benchmark_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,injury_d7_vs_uninjured,GSEMA_Zscore,mKH_meta_standardized_effect,0.5598877208248122,0.5168977167099142,-1.6641436509783651,2.7839190926279893,0.3919436931647584,0.5921702431853045,1,directional_or_no_statistical_support,GSEMA score with project mKH; k=3 and method dependence retained
GSEMA_benchmark_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,injury_d7_vs_uninjured,GSEMA_ssGSEA,mKH_meta_standardized_effect,1.3817716686785706,0.554923837551983,-1.005872895767516,3.769416233124657,0.1304578474322014,0.2717398236515827,1,directional_or_no_statistical_support,GSEMA score with project mKH; k=3 and method dependence retained
GSEMA_benchmark_study_effect,GSE162610,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,GSEMA_GSVA,GSEMA_standardized_effect,-1.22945407958744,0.95420051206172,-3.099687083228411,0.6407789240535311,NA,NA,-1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE162610,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,GSEMA_Zscore,GSEMA_standardized_effect,-0.635927219968299,0.95326684033009,-2.5043302270152754,1.2324757870786773,NA,NA,-1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE162610,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,GSEMA_ssGSEA,GSEMA_standardized_effect,-3.46914319187914,1.13252922356333,-5.688900470063267,-1.2493859136950132,NA,NA,-1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE234774,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,GSEMA_GSVA,GSEMA_standardized_effect,-0.388694203722414,0.95420051206172,-2.258927207363385,1.4815387999185572,NA,NA,-1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE234774,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,GSEMA_Zscore,GSEMA_standardized_effect,-1.63695012814288,0.95326684033009,-3.505353135189856,0.23145287890409638,NA,NA,-1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE234774,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,GSEMA_ssGSEA,GSEMA_standardized_effect,-1.625061704254,1.13252922356333,-3.844818982438127,0.5946955739301267,NA,NA,-1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE304399,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,GSEMA_GSVA,GSEMA_standardized_effect,-0.989935561318623,0.854968461350825,-2.6656737455662403,0.6858026229289941,NA,NA,-1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE304399,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,GSEMA_Zscore,GSEMA_standardized_effect,-0.529718537524421,0.854100079781628,-2.203754693896412,1.14431761884757,NA,NA,-1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE304399,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,GSEMA_ssGSEA,GSEMA_standardized_effect,-1.99502870784847,1.02033046480525,-3.99487641886676,0.004819003169819869,NA,NA,-1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE162610,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,GSEMA_GSVA,GSEMA_standardized_effect,2.35358785953663,0.995148791567355,0.4030962280646142,4.304079491008646,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE162610,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,GSEMA_Zscore,GSEMA_standardized_effect,1.02386302229612,0.929737474006399,-0.7984224267564219,2.846148471348662,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE162610,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,GSEMA_ssGSEA,GSEMA_standardized_effect,5.70427517214407,1.17552115671424,3.4002537049841592,8.00829663930398,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE234774,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,GSEMA_GSVA,GSEMA_standardized_effect,1.61917443987506,0.995148791567355,-0.3313171915969557,3.5696660713470756,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE234774,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,GSEMA_Zscore,GSEMA_standardized_effect,1.98429016062398,0.929737474006399,0.16200471157143803,3.806575609676522,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE234774,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,GSEMA_ssGSEA,GSEMA_standardized_effect,2.30788929745945,1.17552115671424,0.00386783029953941,4.61191076461936,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE304399,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,GSEMA_GSVA,GSEMA_standardized_effect,2.05917872196843,0.995148791567355,0.10868709049641434,4.009670353440446,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE304399,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,GSEMA_Zscore,GSEMA_standardized_effect,1.70483136542459,0.929737474006399,-0.11745408362795207,3.527116814477132,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE304399,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,GSEMA_ssGSEA,GSEMA_standardized_effect,2.70120150098112,1.17552115671424,0.3971800338212095,5.00522296814103,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE162610,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,GSEMA_GSVA,GSEMA_standardized_effect,0.102769893007527,0.938408567815583,-1.7365108999110157,1.9420506859260696,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE162610,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,GSEMA_Zscore,GSEMA_standardized_effect,-0.416286167081505,0.931554545127165,-2.2421330755307483,1.4095607413677382,NA,NA,-1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE162610,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,GSEMA_ssGSEA,GSEMA_standardized_effect,2.23991997055351,0.999087555403228,0.28170836196318305,4.198131579143837,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE234774,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,GSEMA_GSVA,GSEMA_standardized_effect,0.871950268400147,0.938408567815583,-0.9673305245183956,2.7112310613186894,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE234774,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,GSEMA_Zscore,GSEMA_standardized_effect,1.22780196042379,0.931554545127165,-0.5980449480254533,3.053648868873033,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE234774,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,GSEMA_ssGSEA,GSEMA_standardized_effect,1.14082199897874,0.999087555403228,-0.8173896096115869,3.099033607569067,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE304399,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,GSEMA_GSVA,GSEMA_standardized_effect,0.969137298461455,0.840276396399998,-0.677804438482541,2.616079035405451,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE304399,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,GSEMA_Zscore,GSEMA_standardized_effect,0.806903477732708,0.833896744814042,-0.8275341421028142,2.4413410975682304,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
GSEMA_benchmark_study_effect,GSE304399,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,GSEMA_ssGSEA,GSEMA_standardized_effect,0.884615211163828,0.896680270975606,-0.8728781199483596,2.6421085422760155,NA,NA,1,effect_only_no_study_level_test,benchmark score effect; inference comes from separate mKH meta row
biological_sample_score,GSE162610,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,centered_rank_mean,standardized_score_contrast,-1.16589187608264,0.413682465462396,-2.08897554650935,-0.242808205655929,0.0183923737728464,0.183923737728464,-1,nominal_only_not_replication,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE162610,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,magnitude_mean_z,standardized_score_contrast,-2.28151322645939,0.715910477477041,-3.69149776168379,-0.871528691234985,0.0016212664876381,0.0284629995925365,-1,FDR_supported_association_or_enrichment,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE234774,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,centered_rank_mean,standardized_score_contrast,-1.01894656811513,0.52135634125492,-2.17477567224013,0.136882536009857,0.0780923543548561,0.182256530602886,-1,directional_or_no_statistical_support,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE234774,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,magnitude_mean_z,standardized_score_contrast,-1.28671886580728,0.5674459385477,-2.49258898319238,-0.0808487484221776,0.0380113707454884,0.126704569151628,-1,nominal_only_not_replication,within-study score association; FDR is within-study Hallmark family
