scale,contrast_id,metric,observed,n_features,n_permutations,null_median,null_q025,null_q975,empirical_p_null_ge_observed,null_interpretation
gene,injury_d7_vs_uninjured,mean_pairwise_spearman,0.43855494819961977,15331,10000,-7.3175135261527649e-06,-0.0092038649378258786,0.0092193186674267673,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d7_vs_uninjured,mean_held_out_direction_accuracy,0.68369099645598241,15331,10000,0.49998912878046664,0.49407464179331634,0.50596829952384059,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d7_vs_uninjured,mean_pairwise_cohen_kappa,0.31793238447238131,15331,10000,0.00017214090300938096,-0.0090333240201740609,0.0092839233330740019,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d7_vs_uninjured,fleiss_kappa,0.31616635677981619,15331,10000,-0.002079969671724967,-0.011304500873218921,0.00705753765050966,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d7_vs_uninjured,mean_held_out_balanced_accuracy,0.68533011056926363,15331,10000,0.5001028695361226,0.49412245927570081,0.50609763953594022,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d7_vs_uninjured,mean_held_out_mcc,0.37024374726132403,15331,10000,0.00021241117950142823,-0.011779409865650795,0.012225774137914581,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d7_vs_uninjured,mean_agreeing_train_coverage,0.65829582762594308,15331,10000,0.4992716282912617,0.49466223120909697,0.50383754049529272,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,injury_d7_vs_uninjured,mean_agreeing_train_conditional_accuracy,0.74285278062742111,15331,10000,0.49857389506651772,0.48922201288513201,0.50764097123256813,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,change_d7_minus_d1,all_study_sign_concordance_rate,0.44393712086621878,15331,10000,0.24903789707129345,0.24225425608244733,0.2559519926945405,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,change_d7_minus_d1,mean_pairwise_sign_concordance,0.62929141391081256,15331,10000,0.49935859804752897,0.49483617072163155,0.5039679951296937,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,change_d7_minus_d1,mean_pairwise_spearman,0.40077622599941698,15331,10000,-2.0177805301978151e-05,-0.0089937174610431794,0.0093274362947258788,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,change_d7_minus_d1,mean_held_out_direction_accuracy,0.65425173395951564,15331,10000,0.49942382536472946,0.49357456569477964,0.50527308503467927,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,change_d7_minus_d1,mean_pairwise_cohen_kappa,0.25951328521878431,15331,10000,7.9500732394290757e-05,-0.0089671884498763819,0.0092930079846325845,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,change_d7_minus_d1,fleiss_kappa,0.25857925242681135,15331,10000,-0.0012876324703953274,-0.010332530739909878,0.0079312061504560518,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,change_d7_minus_d1,mean_held_out_balanced_accuracy,0.65450910489967651,15331,10000,0.50000958056111555,0.49414737518786422,0.50583621607833884,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,change_d7_minus_d1,mean_held_out_mcc,0.3086085791395568,15331,10000,2.1922931341742915e-05,-0.011709635739700078,0.011676313320680448,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,change_d7_minus_d1,mean_agreeing_train_coverage,0.62929141391081256,15331,10000,0.49935859804752897,0.49483617072163155,0.5039679951296937,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
gene,change_d7_minus_d1,mean_agreeing_train_conditional_accuracy,0.70651308144148761,15331,10000,0.49873718164407133,0.48957863259848239,0.50789871340352666,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d1_vs_uninjured,all_study_sign_concordance_rate,0.81999999999999995,50,10000,0.71999999999999997,0.69999999999999996,0.76000000000000001,0.00019998000199980003,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d1_vs_uninjured,mean_pairwise_sign_concordance,0.87999999999999989,50,10000,0.81333333333333335,0.79999999999999993,0.83999999999999997,0.00019998000199980003,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d1_vs_uninjured,mean_pairwise_spearman,0.70506602641056426,50,10000,-0.0020968387354942013,-0.15356782713085235,0.16910844337735093,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d1_vs_uninjured,mean_held_out_direction_accuracy,0.90000000000000002,50,10000,0.87333333333333341,0.85333333333333339,0.90000000000000002,0.025497450254974501,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d1_vs_uninjured,mean_pairwise_cohen_kappa,0.35408061529696627,50,10000,-0.018017376442101548,-0.074514551583344538,0.1815624554906711,0.00019998000199980003,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d1_vs_uninjured,fleiss_kappa,0.33333333333333376,50,10000,-0.037037037037037902,-0.11111111111111124,0.11111111111111187,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d1_vs_uninjured,mean_held_out_balanced_accuracy,0.79013002364066187,50,10000,0.48881501182033094,0.4749261229314421,0.63674534574468078,0.00019998000199980003,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d1_vs_uninjured,mean_held_out_mcc,0.50245353533056625,50,10000,-0.031079242993202111,-0.062276473658517885,0.31202253432836174,0.0014998500149985001,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d1_vs_uninjured,mean_agreeing_train_coverage,0.87999999999999989,50,10000,0.81333333333333346,0.80000000000000016,0.83999999999999997,0.00019998000199980003,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d1_vs_uninjured,mean_agreeing_train_conditional_accuracy,0.93400642460513816,50,10000,0.89014844804318483,0.88159211843422369,0.91095653755228223,0.00019998000199980003,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d7_vs_uninjured,all_study_sign_concordance_rate,0.81999999999999995,50,10000,0.76000000000000001,0.73999999999999999,0.80000000000000004,0.0091990800919908005,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d7_vs_uninjured,mean_pairwise_sign_concordance,0.88,50,10000,0.83999999999999997,0.82666666666666666,0.8666666666666667,0.0091990800919908005,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d7_vs_uninjured,mean_pairwise_spearman,0.59513405362144856,50,10000,-0.0018087234893957526,-0.15335734293717485,0.17330372148859544,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d7_vs_uninjured,mean_held_out_direction_accuracy,0.88666666666666671,50,10000,0.88,0.85999999999999999,0.90666666666666662,0.49975002499750026,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d7_vs_uninjured,mean_pairwise_cohen_kappa,0.25947525797175708,50,10000,-0.0047161383625325889,-0.067609220123538941,0.14453272923612479,0.006399360063993601,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d7_vs_uninjured,fleiss_kappa,0.24199887703537321,50,10000,-0.01066816395283595,-0.094890510948906132,0.15777653003930373,0.0091990800919908005,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d7_vs_uninjured,mean_held_out_balanced_accuracy,0.74818154652041702,50,10000,0.48531526305612688,0.47093286927173977,0.66498699221290569,0.0012998700129987001,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d7_vs_uninjured,mean_held_out_mcc,0.35920283036882789,50,10000,-0.039483622040730713,-0.067020480545177077,0.26506583585091004,0.0115988401159884,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d7_vs_uninjured,mean_agreeing_train_coverage,0.88,50,10000,0.83999999999999997,0.82666666666666666,0.8666666666666667,0.0091990800919908005,feature identity permuted within study; score and sign-prevalence margins preserved
program,injury_d7_vs_uninjured,mean_agreeing_train_conditional_accuracy,0.93310433527824832,50,10000,0.90613275613275623,0.89851522746259593,0.92352092352092352,0.0077992200779922012,feature identity permuted within study; score and sign-prevalence margins preserved
program,change_d7_minus_d1,all_study_sign_concordance_rate,0.35999999999999999,50,10000,0.17999999999999999,0.10000000000000001,0.28000000000000003,0.00029997000299970003,feature identity permuted within study; score and sign-prevalence margins preserved
program,change_d7_minus_d1,mean_pairwise_sign_concordance,0.57333333333333325,50,10000,0.45333333333333337,0.39999999999999997,0.52000000000000002,0.00029997000299970003,feature identity permuted within study; score and sign-prevalence margins preserved
program,change_d7_minus_d1,mean_pairwise_spearman,0.51113245298119236,50,10000,-0.0034733893557422997,-0.15493637454981993,0.16805202080832332,9.9990000999900015e-05,feature identity permuted within study; score and sign-prevalence margins preserved
program,change_d7_minus_d1,mean_held_out_direction_accuracy,0.56666666666666676,50,10000,0.46666666666666662,0.39333333333333331,0.54666666666666675,0.0079992000799920006,feature identity permuted within study; score and sign-prevalence margins preserved
program,change_d7_minus_d1,mean_pairwise_cohen_kappa,0.22230802230802227,50,10000,-0.007258687258687173,-0.1139253539253539,0.11564135564135565,0.00019998000199980003,feature identity permuted within study; score and sign-prevalence margins preserved
program,change_d7_minus_d1,fleiss_kappa,0.12790697674418575,50,10000,-0.11736918604651184,-0.22638081395348875,0.01889534883720919,0.00029997000299970003,feature identity permuted within study; score and sign-prevalence margins preserved
program,change_d7_minus_d1,mean_held_out_balanced_accuracy,0.66215983363042186,50,10000,0.49966726084373142,0.3899633838383838,0.61211527035056446,0.0013998600139986002,feature identity permuted within study; score and sign-prevalence margins preserved
program,change_d7_minus_d1,mean_held_out_mcc,0.29504509389459815,50,10000,0.0003646796384794449,-0.20673559776856565,0.20248880400550676,0.0016998300169983002,feature identity permuted within study; score and sign-prevalence margins preserved
program,change_d7_minus_d1,mean_agreeing_train_coverage,0.57333333333333325,50,10000,0.45333333333333337,0.39999999999999997,0.52000000000000002,0.00029997000299970003,feature identity permuted within study; score and sign-prevalence margins preserved
program,change_d7_minus_d1,mean_agreeing_train_conditional_accuracy,0.65927750410509034,50,10000,0.41628250046099941,0.25383631713554988,0.55472222222222223,0.00019998000199980003,feature identity permuted within study; score and sign-prevalence margins preserved
