dataset,geo_record,analytical_sample_id,sample_alias,group,dpi,genotype,inferential_unit,animal_pool_library_relation,technical_partition_handling,analysis_role,retained_cells,source_status
GSE304399,GSM9149962,GSE304399_ALL_7dpi_2,"Unsorted, 7dpi, rep2, GEX",dpi_7,7,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported; barcode-level state labels unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis,1281,geo_title_verified
GSE304399,GSM9149963,GSE304399_ALL_7dpi_3,"Unsorted, 7dpi, rep3, GEX",dpi_7,7,wild type/not otherwise specified,distinct deposited sample library,Animal/pool-to-library relation not fully reported; barcode-level state labels unavailable.,No technical partition was counted as an independent replicate.,secondary three-study all-state aggregate analysis,1342,geo_title_verified
GSE304361,GSE304361; GSM9149315-GSM9149322 are sequencing sublibraries,KO_7dpi_sample1,KO_7dpi_sample1,ko_d7,7,Plxnb1 KO (author label),mouse reconstructed from author metadata,One author-defined biological mouse; no pooling assumed.,4 orig.ident partitions (37;38;39;40) summed within mouse before modeling.,within-study Plexin-B1 genotype context,4943,author sample mapping verified in deposited metadata
GSE304361,GSE304361; GSM9149315-GSM9149322 are sequencing sublibraries,KO_7dpi_sample2,KO_7dpi_sample2,ko_d7,7,Plxnb1 KO (author label),mouse reconstructed from author metadata,One author-defined biological mouse; no pooling assumed.,4 orig.ident partitions (41;42;43;44) summed within mouse before modeling.,within-study Plexin-B1 genotype context,8859,author sample mapping verified in deposited metadata
GSE304361,GSE304361; GSM9149315-GSM9149322 are sequencing sublibraries,KO_7dpi_sample3_Male,KO_7dpi_sample3_Male,ko_d7,7,Plxnb1 KO (author label),mouse reconstructed from author metadata,One author-defined biological mouse; no pooling assumed.,4 orig.ident partitions (45;46;47;48) summed within mouse before modeling.,within-study Plexin-B1 genotype context,8608,author sample mapping verified in deposited metadata
GSE304361,GSE304361; GSM9149315-GSM9149322 are sequencing sublibraries,KO_uninjured_sample1,KO_uninjured_sample1,ko_uninjured,0,Plxnb1 KO (author label),mouse reconstructed from author metadata,One author-defined biological mouse; no pooling assumed.,4 orig.ident partitions (13;14;15;16) summed within mouse before modeling.,within-study Plexin-B1 genotype context,13324,author sample mapping verified in deposited metadata
GSE304361,GSE304361; GSM9149315-GSM9149322 are sequencing sublibraries,KO_uninjured_sample2,KO_uninjured_sample2,ko_uninjured,0,Plxnb1 KO (author label),mouse reconstructed from author metadata,One author-defined biological mouse; no pooling assumed.,4 orig.ident partitions (17;18;19;20) summed within mouse before modeling.,within-study Plexin-B1 genotype context,20685,author sample mapping verified in deposited metadata
GSE304361,GSE304361; GSM9149315-GSM9149322 are sequencing sublibraries,KO_uninjured_sample3_Male,KO_uninjured_sample3_Male,ko_uninjured,0,Plxnb1 KO (author label),mouse reconstructed from author metadata,One author-defined biological mouse; no pooling assumed.,4 orig.ident partitions (21;22;23;24) summed within mouse before modeling.,within-study Plexin-B1 genotype context,15094,author sample mapping verified in deposited metadata
GSE304361,GSE304361; GSM9149315-GSM9149322 are sequencing sublibraries,Ctrl_7dpi_sample1,Ctrl_7dpi_sample1,wt_d7,7,wild type,mouse reconstructed from author metadata,One author-defined biological mouse; no pooling assumed.,4 orig.ident partitions (25;26;27;28) summed within mouse before modeling.,additional WT day-7 endpoint context,7717,author sample mapping verified in deposited metadata
GSE304361,GSE304361; GSM9149315-GSM9149322 are sequencing sublibraries,Ctrl_7dpi_sample2,Ctrl_7dpi_sample2,wt_d7,7,wild type,mouse reconstructed from author metadata,One author-defined biological mouse; no pooling assumed.,4 orig.ident partitions (29;30;31;32) summed within mouse before modeling.,additional WT day-7 endpoint context,9316,author sample mapping verified in deposited metadata
GSE304361,GSE304361; GSM9149315-GSM9149322 are sequencing sublibraries,Ctrl_7dpi_sample3_Male,Ctrl_7dpi_sample3_Male,wt_d7,7,wild type,mouse reconstructed from author metadata,One author-defined biological mouse; no pooling assumed.,4 orig.ident partitions (33;34;35;36) summed within mouse before modeling.,additional WT day-7 endpoint context,3164,author sample mapping verified in deposited metadata
GSE304361,GSE304361; GSM9149315-GSM9149322 are sequencing sublibraries,Ctrl_uninjured_sample1,Ctrl_uninjured_sample1,wt_uninjured,0,wild type,mouse reconstructed from author metadata,One author-defined biological mouse; no pooling assumed.,4 orig.ident partitions (01;02;03;04) summed within mouse before modeling.,additional WT day-7 endpoint context,8231,author sample mapping verified in deposited metadata
GSE304361,GSE304361; GSM9149315-GSM9149322 are sequencing sublibraries,Ctrl_uninjured_sample2,Ctrl_uninjured_sample2,wt_uninjured,0,wild type,mouse reconstructed from author metadata,One author-defined biological mouse; no pooling assumed.,4 orig.ident partitions (05;06;07;08) summed within mouse before modeling.,additional WT day-7 endpoint context,12256,author sample mapping verified in deposited metadata
GSE304361,GSE304361; GSM9149315-GSM9149322 are sequencing sublibraries,Ctrl_uninjured_sample3_Male,Ctrl_uninjured_sample3_Male,wt_uninjured,0,wild type,mouse reconstructed from author metadata,One author-defined biological mouse; no pooling assumed.,4 orig.ident partitions (09;10;11;12) summed within mouse before modeling.,additional WT day-7 endpoint context,6043,author sample mapping verified in deposited metadata
GSE47681,GSM1154538,GSM1154538,GSM1154538_Dorsey-Mouse430-S34_27NavWT1.CEL.gz,uninjured,0,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
GSE47681,GSM1154539,GSM1154539,GSM1154539_Dorsey-Mouse430-S34_28NavWT2.CEL.gz,uninjured,0,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
GSE47681,GSM1154540,GSM1154540,GSM1154540_Dorsey-Mouse430-S34_29NavWT3.CEL.gz,uninjured,0,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
GSE47681,GSM1154542,GSM1154542,GSM1154542_Dorsey-Mouse430-S34_30NavWT4.CEL.gz,uninjured,0,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
GSE47681,GSM1154530,GSM1154530,GSM1154530_Dorsey_Mouse430-S34_1-D1WT36.CEL.gz,dpi_1,1,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
GSE47681,GSM1154541,GSM1154541,GSM1154541_Dorsey_Mouse430-S34_2-D1WT37.CEL.gz,dpi_1,1,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
GSE47681,GSM1154547,GSM1154547,GSM1154547_Dorsey_Mouse430-S34_3-D1WT38.CEL.gz,dpi_1,1,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
GSE47681,GSM1154548,GSM1154548,GSM1154548_Dorsey_Mouse430-S34_4-D1WT39.CEL.gz,dpi_1,1,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
GSE47681,GSM1154549,GSM1154549,GSM1154549_Dorsey_Mouse430-S34_5-D1WT42.CEL.gz,dpi_1,1,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
GSE47681,GSM1154529,GSM1154529,GSM1154529_Dorsey_Mouse430-S34_19-D7WT28.CEL.gz,dpi_7,7,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
GSE47681,GSM1154531,GSM1154531,GSM1154531_Dorsey_Mouse430-S34_20-D7WT29.CEL.gz,dpi_7,7,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
GSE47681,GSM1154532,GSM1154532,GSM1154532_Dorsey_Mouse430-S34_21-D7WT31.CEL.gz,dpi_7,7,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
GSE47681,GSM1154533,GSM1154533,GSM1154533_Dorsey_Mouse430-S34_22-D7WT43.CEL.gz,dpi_7,7,wild type,one Affymetrix array per reported biological replicate,GEO title identifies an independent biological replicate; no pooling inferred.,One CEL file per eligible biological replicate; no technical partition counted separately.,orthogonal cross-platform context evaluation;not pooled with discovery datasets,not applicable,official GEO CEL integrity-checked and jointly RMA-normalized
